name,game,average,homerun,steel,salary
森友哉,136,0.275,16,7,8000
岡田雅利,52,0.272,3,0,2870
外崎修汰,119,0.287,18,25,7000
源田壮亮,143,0.278,4,34,8000
山川穂高,143,0.281,47,0,11000
秋山翔吾,143,0.323,24,15,23490
柳田悠岐,130,0.352,36,21,57000
上林誠知,143,0.270,22,13,7500
牧原大成,59,0.317,3,9,2000
杉谷拳士,70,0.231,3,4,2600
中島卓也,132,0.261,1,29,10000
横尾俊建,74,0.207,9,0,2100
大田泰示,104,0.274,14,3,6500
西川遥輝,140,0.278,10,44,20000
近藤健介,129,0.323,9,5,10000
伏見寅威,76,0.274,1,0,2200
宗佑磨,74,0.233,5,3,1800
吉田正尚,143,0.321,26,3,8500
平沢大河,112,0.213,5,8,2620
井上晴哉,133,0.292,24,1,5000
角中勝也,112,0.265,7,3,13100
菅野剛士,53,0.176,2,1,1440
浅村栄斗,143,0.310,32,4,50000
茂木栄五郎,100,0.247,7,12,5100
内田靖人,58,0.198,12,0,1400
田中和基,105,0.265,18,21,4000
島内宏明,103,0.292,11,11,7800
