right,left,hand
0.259,0.236,right
0.319,0.256,right
0.232,0.290,right
0.218,0.278,right
0.264,0.234,left
0.189,0.230,right
0.248,0.347,left
0.265,0.263,left
0.232,0.265,right
0.352,0.283,left
0.233,0.321,right
0.303,0.253,left
0.224,0.251,right
0.255,0.294,right
0.222,0.264,left
0.234,0.259,right
0.237,0.259,left
0.237,0.235,left
0.198,0.215,right
0.189,0.308,right
0.269,0.333,right
0.268,0.269,left
0.269,0.177,left
0.261,0.285,left
0.249,0.266,left
0.258,0.316,right
0.207,0.105,left
0.195,0.255,right
0.308,0.208,left
0.302,0.238,left
